x, qx
0,0.00289
1,0.00087
2,0.00081
3,0.00079
4,0.00077
5,0.00076
6,0.00073
7,0.00072
8,0.0007
9,0.00069
10,0.00068
11,0.00069
12,0.00072
13,0.00075
14,0.0008
15,0.00085
16,0.0009
17,0.00095
18,0.00098
19,0.00102
20,0.00105
21,0.00107
22,0.00109
23,0.00111
24,0.00114
25,0.00116
26,0.00119
27,0.00122
28,0.00126
29,0.0013
30,0.00135
31,0.0014
32,0.00145
33,0.0015
34,0.00158
35,0.00165
36,0.00176
37,0.00189
38,0.00204
39,0.00222
40,0.00242
41,0.00264
42,0.00287
43,0.00309
44,0.00332
45,0.00356
46,0.0038
47,0.00405
48,0.00433
49,0.00463
50,0.00496
51,0.00531
52,0.0057
53,0.00615
54,0.00661
55,0.00709
56,0.00757
57,0.00803
58,0.00847
59,0.00894
60,0.00947
61,0.01013
62,0.01096
63,0.01202
64,0.01325
65,0.01459
66,0.016
67,0.01743
68,0.01884
69,0.02036
70,0.02211
71,0.02423
72,0.02687
73,0.03011
74,0.03393
75,0.03824
76,0.04297
77,0.04804
78,0.05345
79,0.05935
80,0.06599
81,0.0736
82,0.0824
83,0.09253
84,0.10381
85,0.1161
86,0.12929
87,0.14332
88,0.15818
89,0.17394
90,0.19075
91,0.20887
92,0.22881
93,0.25151
94,0.27931
95,0.31732
96,0.37574
97,0.47497
98,0.65585
99,1
